Region	Division	FIPS	Location name
Northeast	New England	9	Connecticut
Northeast	New England	23	Maine
Northeast	New England	25	Massachusetts
Northeast	New England	33	New Hampshire
Northeast	New England	44	Rhode Island
Northeast	New England	50	Vermont
Northeast	Middle Atlantic	34	New Jersey
Northeast	Middle Atlantic	36	New York
Northeast	Middle Atlantic	42	Pennsylvania
Midwest	East North Central	17	Illinois
Midwest	East North Central	18	Indiana
Midwest	East North Central	26	Michigan
Midwest	East North Central	39	Ohio
Midwest	East North Central	55	Wisconsin
Midwest	West North Central	19	Iowa
Midwest	West North Central	20	Kansas
Midwest	West North Central	27	Minnesota
Midwest	West North Central	29	Missouri
Midwest	West North Central	31	Nebraska
Midwest	West North Central	38	North Dakota
Midwest	West North Central	46	South Dakota
South	South Atlantic	10	Delaware
South	South Atlantic	11	District of Columbia
South	South Atlantic	12	Florida
South	South Atlantic	13	Georgia
South	South Atlantic	24	Maryland
South	South Atlantic	37	North Carolina
South	South Atlantic	45	South Carolina
South	South Atlantic	51	Virginia
South	South Atlantic	54	West Virginia
South	East South Central	1	Alabama
South	East South Central	21	Kentucky
South	East South Central	28	Mississippi
South	East South Central	47	Tennessee
South	West South Central	5	Arkansas
South	West South Central	22	Louisiana
South	West South Central	40	Oklahoma
South	West South Central	48	Texas
West	Mountain	4	Arizona
West	Mountain	8	Colorado
West	Mountain	16	Idaho
West	Mountain	30	Montana
West	Mountain	32	Nevada
West	Mountain	35	New Mexico
West	Mountain	49	Utah
West	Mountain	56	Wyoming
West	Pacific	2	Alaska
West	Pacific	6	California
West	Pacific	15	Hawaii
West	Pacific	41	Oregon
West	Pacific	53	Washington
