iso2	iso3	location_type	area_level	location_name	abbreviation	FIPS
US	USA	Province/State	Intermediate	Alabama	AL	1
US	USA	Province/State	Intermediate	Alaska	AK	2
US	USA	Province/State	Intermediate	American Samoa	AS	
US	USA	Province/State	Intermediate	Arizona	AZ	4
US	USA	Province/State	Intermediate	Arkansas	AR	5
US	USA	Province/State	Intermediate	California	CA	6
US	USA	Province/State	Intermediate	Colorado	CO	8
US	USA	Province/State	Intermediate	Connecticut	CT	9
US	USA	Province/State	Intermediate	Delaware	DE	10
US	USA	Province/State	Intermediate	District of Columbia	DC	11
US	USA	Province/State	Intermediate	Florida	FL	12
US	USA	Province/State	Intermediate	Georgia	GA	13
US	USA	Province/State	Intermediate	Guam	GU	
US	USA	Province/State	Intermediate	Hawaii	HI	15
US	USA	Province/State	Intermediate	Idaho	ID	16
US	USA	Province/State	Intermediate	Illinois	IL	17
US	USA	Province/State	Intermediate	Indiana	IN	18
US	USA	Province/State	Intermediate	Iowa	IA	19
US	USA	Province/State	Intermediate	Kansas	KS	20
US	USA	Province/State	Intermediate	Kentucky	KY	21
US	USA	Province/State	Intermediate	Louisiana	LA	22
US	USA	Province/State	Intermediate	Maine	ME	23
US	USA	Province/State	Intermediate	Maryland	MD	24
US	USA	Province/State	Intermediate	Massachusetts	MA	25
US	USA	Province/State	Intermediate	Michigan	MI	26
US	USA	Province/State	Intermediate	Minnesota	MN	27
US	USA	Province/State	Intermediate	Mississippi	MS	28
US	USA	Province/State	Intermediate	Missouri	MO	29
US	USA	Province/State	Intermediate	Montana	MT	30
US	USA	Province/State	Intermediate	Nebraska	NE	31
US	USA	Province/State	Intermediate	Nevada	NV	32
US	USA	Province/State	Intermediate	New Hampshire	NH	33
US	USA	Province/State	Intermediate	New Jersey	NJ	34
US	USA	Province/State	Intermediate	New Mexico	NM	35
US	USA	Province/State	Intermediate	New York	NY	36
US	USA	Province/State	Intermediate	North Carolina	NC	37
US	USA	Province/State	Intermediate	North Dakota	ND	38
US	USA	Province/State	Intermediate	Ohio	OH	39
US	USA	Province/State	Intermediate	Oklahoma	OK	40
US	USA	Province/State	Intermediate	Oregon	OR	41
US	USA	Province/State	Intermediate	Pennsylvania	PA	42
US	USA	Province/State	Intermediate	Puerto Rico	PR	
US	USA	Province/State	Intermediate	Rhode Island	RI	44
US	USA	Province/State	Intermediate	South Carolina	SC	45
US	USA	Province/State	Intermediate	South Dakota	SD	46
US	USA	Province/State	Intermediate	Tennessee	TN	47
US	USA	Province/State	Intermediate	Texas	TX	48
US	USA	Province/State	Intermediate	Utah	UT	49
US	USA	Province/State	Intermediate	Vermont	VT	50
US	USA	Province/State	Intermediate	Virginia	VA	51
US	USA	Province/State	Intermediate	Virgin Islands	VI	
US	USA	Province/State	Intermediate	Washington	WA	53
US	USA	Province/State	Intermediate	West Virginia	WV	54
US	USA	Province/State	Intermediate	Wisconsin	WI	55
US	USA	Province/State	Intermediate	Wyoming	WY	56
IT	ITA	Other	Intermediate	Veneto		
IT	ITA	Other	Intermediate	Valle d'Aosta		
ES	ESP	Other	Intermediate	Valencian Community		
GB	GBR	Country	Country	United Kingdom		
IT	ITA	Other	Intermediate	Umbria		
IT	ITA	Other	Intermediate	Toscana		
DE	DEU	Province/State	Intermediate	Thuringia		
SE	SWE	Country	Country	Sweden		
ES	ESP	Country	Country	Spain		
SI	SVN	Country	Country	Slovenia		
SK	SVK	Country	Country	Slovakia		
IT	ITA	Other	Intermediate	Sicilia		
DE	DEU	Province/State	Intermediate	Schleswig-Holstein		
DE	DEU	Province/State	Intermediate	Saxony		
DE	DEU	Province/State	Intermediate	Saxony-Anhalt		
IT	ITA	Other	Intermediate	Sardegna		
DE	DEU	Province/State	Intermediate	Saarland		
RO	ROU	Country	Intermediate	Romania		
DE	DEU	Province/State	Intermediate	Rhineland-Palatinate		
IT	ITA	Other	Intermediate	Puglia		
IT	ITA	Province/State	Intermediate	Provincia autonoma di Trento		
