time	susceptible	severe	exposed	overflow	ICU	infectious	cumulative_recovered	cumulative_hospitalized	cumulative_critical	cumulative_fatality
2020-03-01	329469287	0	5182	0	0	2221	0	0	0	0
2020-03-02	329468717	5	5493	0	0	2295	180	5	0	0
2020-03-03	329466284	22	6885	0	1	2539	960	25	1	0
2020-03-04	329463650	37	8399	0	2	2784	1818	47	2	0
2020-03-05	329460778	52	9954	0	5	3133	2769	72	5	0
2020-03-06	329457556	68	11585	0	8	3622	3851	102	9	0
2020-03-07	329453864	87	13380	0	13	4238	5109	139	14	1
2020-03-08	329449602	109	15416	0	19	4962	6580	185	21	1
2020-03-09	329444692	136	17747	0	27	5788	8299	241	31	2
2020-03-10	329439056	167	20405	0	38	6721	10299	307	44	3
2020-03-11	329432615	203	23420	0	51	7779	12618	387	60	4
2020-03-12	329425273	244	26821	0	67	8980	15298	480	81	6
2020-03-13	329416925	290	30647	0	87	10344	18390	588	106	8
2020-03-14	329407450	342	34939	0	110	11890	21948	713	136	11
2020-03-15	329396720	400	39745	0	138	13638	26034	857	172	15
2020-03-16	329384590	466	45118	0	170	15609	30718	1023	215	20
2020-03-17	329370905	540	51111	0	207	17826	36075	1213	264	26
2020-03-18	329355497	623	57786	0	249	20315	42188	1430	323	33
2020-03-19	329338180	716	65204	0	297	23102	49150	1678	390	42
2020-03-20	329318752	821	73435	0	352	26218	57061	1959	467	52
2020-03-21	329296994	938	82553	0	414	29693	66033	2278	556	65
2020-03-22	329272667	1069	92639	0	484	33564	76188	2638	657	79
2020-03-23	329245509	1216	103781	0	563	37866	87660	3046	773	96
2020-03-24	329215237	1379	116073	0	652	42640	100594	3505	904	116
2020-03-25	329181542	1561	129616	0	752	47931	115149	4022	1054	139
2020-03-26	329144093	1763	144520	0	864	53783	131502	4603	1223	165
2020-03-27	329102528	1987	160898	0	990	60250	149841	5254	1413	196
2020-03-28	329056461	2236	178873	0	1130	67385	170374	5983	1628	230
2020-03-29	329005473	2512	198575	0	1287	75246	193326	6797	1870	270
2020-03-30	328949114	2816	220141	0	1462	83897	218944	7706	2141	315
2020-03-31	328886903	3153	243714	0	1657	93404	247493	8719	2445	366
2020-04-01	328818324	3524	269445	0	1873	103838	279262	9846	2786	424
2020-04-02	328742827	3932	297491	0	2113	115275	314563	11099	3166	489
