time	susceptible	severe	exposed	overflow	ICU	infectious	cumulative_recovered	cumulative_hospitalized	cumulative_critical	cumulative_fatality
2020-03-01	326862611	0	213378	0	0	91448	0	0	0	0
2020-03-02	326790462	555	253520	0	9	99852	23039	590	9	0
2020-03-03	326686626	1216	313505	0	58	109246	56786	1453	59	1
2020-03-04	326574658	1820	375875	0	142	121067	93872	2414	150	3
2020-03-05	326451253	2439	439820	0	262	138182	135472	3538	283	8
2020-03-06	326311593	3149	508095	0	424	160811	183347	4908	468	18
2020-03-07	326151428	3997	584047	0	643	188118	239172	6599	723	32
2020-03-08	325967539	5006	670075	0	935	219457	304371	8667	1068	55
2020-03-09	325757327	6184	767508	0	1315	254776	380240	11159	1525	87
2020-03-10	325518284	7536	877076	0	1799	294484	468125	14120	2115	133
2020-03-11	325247694	9070	999350	0	2400	339190	569538	17597	2859	196
2020-03-12	324942565	10799	1134949	0	3128	389519	686197	21646	3778	281
2020-03-13	324599700	12739	1284559	0	3997	446038	820014	26328	4893	391
2020-03-14	324215795	14910	1448843	0	5018	509257	973081	31712	6226	532
2020-03-15	323787530	17334	1628358	0	6205	579649	1147652	37873	7802	708
2020-03-16	323311636	20034	1823479	0	7571	657659	1346132	44894	9647	927
2020-03-17	322784963	23033	2034348	0	9132	743701	1571066	52861	11789	1194
2020-03-18	322204555	26353	2260834	0	10904	838141	1825134	61867	14260	1515
2020-03-19	321567731	30019	2502487	0	12906	941270	2111126	72010	17093	1898
2020-03-20	320872185	34050	2758496	0	15156	1053282	2431916	83389	20324	2352
2020-03-21	320116089	38466	3027642	0	17675	1174250	2790431	96108	23991	2884
2020-03-22	319298210	43283	3308256	0	20481	1304097	3189607	110269	28134	3503
2020-03-23	318418005	48512	3598200	0	23597	1442569	3632333	125973	32794	4221
2020-03-24	317475653	54159	3894924	0	27041	1589215	4121398	143320	38014	5047
2020-03-25	316472091	60225	4195515	0	30833	1743364	4659418	162399	43837	5992
2020-03-26	315409067	66701	4496736	0	34991	1904110	5248764	183295	50306	7068
2020-03-27	314289150	73571	4795085	0	39530	2070323	5891489	206079	57464	8288
2020-03-28	313115725	80813	5086875	0	44461	2240649	6589249	230809	65349	9665
2020-03-29	311892949	88392	5368321	296	49499	2413529	7343239	257525	73999	11212
2020-03-30	310625686	96264	5635664	5952	49499	2587226	8154120	286251	83448	13027
2020-03-31	309319404	104373	5885277	11821	49499	2759853	9021971	316986	93724	15238
2020-04-01	307980060	112654	6113803	17901	49499	2929418	9946242	349710	104849	17860
2020-04-02	306613953	121033	6318264	24185	49499	3093875	10925722	384379	116838	20906
2020-04-03	305227569	129435	6496180	30661	49499	3251176	11958529	420925	129698	24389
2020-04-04	303827416	137775	6645662	37308	49499	3399339	13042119	459256	143428	28319
