day,date,hospitalized,icu,ventilated
-62,2020-01-31,,,
-61,2020-02-01,0.2606356864312924,0.0781907059293877,0.05212713728625845
-60,2020-02-02,0.5705854893514519,0.1711756468054355,0.11411709787029034
-59,2020-02-03,0.9391799838516264,0.2817539951554879,0.18783599677032525
-58,2020-02-04,1.377515152992106,0.4132545458976317,0.27550303059842113
-57,2020-02-05,1.8987864141235464,0.5696359242370639,0.3797572828247093
-56,2020-02-06,2.5186858447561984,0.7556057534268595,0.5037371689512395
-55,2020-02-07,3.2558745655259385,0.9767623696577815,0.6511749131051877
-54,2020-02-08,3.8719088137215123,1.2397633500458416,0.8265089000305609
-53,2020-02-09,4.60450093329118,1.5525259267927898,1.0350172845285264
-52,2020-02-10,5.475704417457378,1.8462746144633138,1.2829768802618007
-51,2020-02-11,6.511745400774221,2.1956025193244626,1.5257249734670069
-50,2020-02-12,7.7438121372221564,2.6110255702482226,1.8144026123988501
-49,2020-02-13,9.208993846782958,3.105049361564115,2.1576999415375058
-48,2020-02-14,10.951397189418813,3.692545602246361,2.565951320390529
-47,2020-02-15,13.023473971067329,4.39119978793918,3.0514464114193176
-46,2020-02-16,15.487600042937906,5.222043570016379,3.6288001241648677
-45,2020-02-17,18.41795291415132,6.210087844592255,4.315392549986877
-44,2020-02-18,21.902744585777462,7.385075615070349,5.1318921278781975
-43,2020-02-19,26.046876801644682,8.782377285504413,6.10287778606955
-42,2020-02-20,30.97509861890262,10.444055327002637,7.257578781826554
-41,2020-02-21,36.835761310716556,12.420130354294681,8.630754502378995
-40,2020-02-22,43.80528357801914,14.770086707310032,10.263740699578712
-39,2020-02-23,52.09346140564972,17.564662834885652,12.20569363593822
-38,2020-02-24,61.94978229047058,20.887980340413232,14.51506957019723
-37,2020-02-25,73.67093375537627,24.840075728801857,17.261384084739987
-36,2020-02-26,87.60973194629682,29.539910995148066,20.52730416674133
-35,2020-02-27,104.18573876117463,35.12895357962178,24.411135951231213
-34,2020-02-28,123.89788665260012,41.77543330958131,29.02978291574353
-33,2020-02-29,147.33949048860464,49.67940426822063,34.522263436970704
-32,2020-03-01,175.21609743887353,59.07876367333275,41.053893399932406
-31,2020-03-02,208.36671089777508,70.25640853634002,48.821259487608934
-30,2020-03-03,247.78902547388753,83.54874494927319,58.05813246391366
-29,2020-03-04,294.6694300422219,99.35580532067345,69.04249789405577
-28,2020-03-05,350.4186782868809,118.15327693907315,82.10491515051328
-27,2020-03-06,416.71429521235643,140.50680228939916,97.63845520713954
-26,2020-03-07,495.550988670984,167.0889792411634,116.11051478190814
-25,2020-03-08,589.300572812733,198.69956952137258,138.0768602102441
-24,2020-03-09,700.7831922941165,236.28951907799353,164.19832061591222
-23,2020-03-10,833.3519700386723,280.9895067292128,195.26062837392723
-22,2020-03-11,990.9935966209703,334.1438710376319,232.1979977304751
-21,2020-03-12,1178.447846782727,397.350923331725,276.1211423275037
-20,2020-03-13,1401.349560749126,472.5108415014704,328.3505622621873
-19,2020-03-14,1666.3972793911744,561.8825595724513,390.45608465169863
-18,2020-03-15,1981.553489482355,668.1513278023721,464.3038224493389
-17,2020-03-16,2356.282337182549,794.508923631463,552.1119290099507
-16,2020-03-17,2801.8317256202326,944.7488525714627,656.5167757637771
-15,2020-03-18,3331.567949444654,1123.3792981827933,780.6514730568595
-14,2020-03-19,3961.372460835798,1335.7570705708627,928.2389960358397
-13,2020-03-20,4710.112034347071,1588.2463728193004,1103.7025751238668
-12,2020-03-21,5600.195528907623,1888.40686420992,1312.2964711090292
-11,2020-03-22,6658.2326593162015,2245.2162573724945,1560.2607849560338
-10,2020-03-23,7915.812706710827,2669.333551827358,1855.0045582022908
-9,2020-03-24,9410.423928259284,3173.4099842045416,2205.3221055373992
-8,2020-03-25,11186.5375644097,3772.455866350939,2621.648288042328
-7,2020-03-26,13296.883754017457,4484.27267909003,3116.359279402822
-6,2020-03-27,15803.950277787219,5329.961071322069,3704.126285557264
-5,2020-03-28,18781.73871914607,6334.516741703001,4402.3306250493115
-4,2020-03-29,22317.816125062585,7527.527484587147,5231.549517801392
-3,2020-03-30,26515.70319710317,8943.985852286021,6216.12279075351
-2,2020-03-31,31497.641880320378,10625.232750505795,7384.811375819951
-1,2020-04-01,37407.7851066781,12620.04758634112,8771.558777514709
0,2020-04-02,44415.8481760358,14985.89995342298,10416.366373267814
1,2020-04-03,49157.71486991657,16721.31426297413,11653.58447388872
2,2020-04-04,54129.560782291475,18584.319850185202,12990.935268625664
3,2020-04-05,59300.89196254047,20576.609990013127,14432.351159505992
4,2020-04-06,64627.496517219355,22697.713191708004,15980.832038639935
5,2020-04-07,70048.12439395237,24944.325231172734,17638.08851078121
6,2020-04-08,75480.53226075022,27309.496305435237,19404.102004652235
7,2020-04-09,80816.80396460358,29781.648578707944,21276.586526767896
8,2020-04-10,89481.39422842288,32343.396999497567,23250.33494350922
9,2020-04-11,99035.26354013765,34970.144459415766,25316.430955317577
10,2020-04-12,109560.62526594038,38697.48310882026,27461.306577486914
11,2020-04-13,121145.21441851275,42802.40928257439,30378.331948359177
