day,date,susceptible,infected,recovered
-62,2020-01-31,329476650.0,40.0,0.0
-61,2020-02-01,329476639.57457256,47.56828460010884,2.8571428571428568
-60,2020-02-02,329476627.1765804,56.56854210262173,6.254877471436345
-59,2020-02-03,329476612.43280065,67.27171173244145,10.29548762162361
-58,2020-02-04,329476594.89939386,79.99999623145766,15.100609888226572
-57,2020-02-05,329476574.04854345,95.13656123161115,20.814895333330693
-56,2020-02-06,329476549.25256616,113.13706979751643,27.610363992731482
-55,2020-02-07,329476519.7650174,134.54339935705488,35.691583263982665
-54,2020-02-08,329476484.69822,159.99995393091132,45.30182607520087
-53,2020-02-09,329476442.9965431,190.2730626925822,56.730394213123105
-52,2020-02-10,329476393.4046239,226.2740487897669,70.32132726259324
-51,2020-02-11,329476334.4295778,269.0866628316479,86.48375931900516
-50,2020-02-12,329476264.29605794,319.99970681827665,105.70423523555144
-49,2020-02-13,329476180.8928124,380.54583051042357,128.56135715114266
-48,2020-02-14,329476081.70912975,452.5476680101886,155.74320218760144
-47,2020-02-15,329475963.7592612,538.1727032319046,188.06803561690072
-46,2020-02-16,329475823.49254143,639.9985156326134,226.50894299060818
-45,2020-02-17,329475656.6865074,761.090369939761,272.2231226786519
-44,2020-02-18,329475458.3197944,905.0934850502597,326.586720531492
-43,2020-02-19,329475222.4209859,1076.342758941676,391.23625517793914
-42,2020-02-20,329474941.88886756,1279.9932516010408,468.1178808166303
-41,2020-02-21,329474608.2786774,1522.1753524097476,559.5459702167047
-40,2020-02-22,329474211.5479181,1810.1793008664558,668.2727811031152
-39,2020-02-23,329473739.7540851,2152.674612255634,797.5713025935761
-38,2020-02-24,329473178.69521576,2559.971009339686,951.3337748975499
-37,2020-02-25,329472511.48244417,3044.328708803561,1134.1888469932417
-36,2020-02-26,329471718.031708,3620.3273943494205,1351.6408976220673
-35,2020-02-27,329470774.45931715,4305.304971360487,1610.235711504169
-34,2020-02-28,329469652.3632113,5119.879293557682,1917.7574951727752
-33,2020-02-29,329468317.96829844,6088.5685425154325,2283.4631589983233
-32,2020-03-01,329466731.1101876,7240.52890036901,2718.3609120351402
-31,2020-03-02,329464844.02677983,8610.431672372455,3235.541547775784
-30,2020-03-03,329462599.9214253,10239.506193235628,3850.5723815166743
-29,2020-03-04,329459931.25450635,12176.77981262686,4581.965681033505
-28,2020-03-05,329456757.7121857,14480.552146690181,5451.735667649709
-27,2020-03-06,329452983.79140276,17220.14777623999,6486.0608209847205
-26,2020-03-07,329448495.92875165,20477.99987192268,7716.071376430435
-25,2020-03-08,329443159.0872751,24352.12707191713,9178.78565299634
-24,2020-03-09,329436812.6990881,28959.077610922475,10918.22330099042
-23,2020-03-10,329429265.8426237,34437.42853167146,12986.728844627738
-22,2020-03-11,329420291.51064146,40951.94419018061,15446.545168318553
-21,2020-03-12,329409619.79831433,48698.51764660324,18371.68403904574
-20,2020-03-13,329396929.8089728,57910.041441958056,21850.149585231688
-19,2020-03-14,329381840.037576,68863.38130719996,25986.581116800127
-18,2020-03-15,329363896.9476958,81887.65823689324,30905.39406731441
-17,2020-03-16,329342561.4056008,97374.08188640805,36754.51251280678
-16,2020-03-17,329317192.57359886,115787.62232498688,43709.80407612163
-15,2020-03-18,329287028.7926637,137680.85880837892,51980.34852790641
-14,2020-03-19,329251164.8998809,163710.4045334331,61814.695585647765
-13,2020-03-20,329208525.3275989,194656.37649160813,73508.29590946443
-12,2020-03-21,329157832.2164197,231445.46077858284,87412.32280172216
-11,2020-03-22,329097567.64132315,275178.21724809194,103944.14142876379
-10,2020-03-23,329025928.8973323,327161.3742925918,123599.72837505605
-9,2020-03-24,328940775.6164685,388945.9855640958,146968.39796738402
-8,2020-03-25,328839567.29008734,462372.4558335681,174750.2540791052
-7,2020-03-26,328719289.5497202,549623.592212562,207776.8580672172
-6,2020-03-27,328576367.31648743,653286.9974301611,247035.6860824002
-5,2020-03-28,328406562.66765386,776428.2893044502,293699.0430416974
-4,2020-03-29,328204854.9963206,922676.7971159153,349158.2065634438
-3,2020-03-30,327965300.7694482,1096325.538480051,415063.6920717236
-2,2020-03-31,327680869.9412557,1302447.3996382821,493372.65910601296
-1,2020-04-01,327343255.8858202,1547029.4979567647,586404.616223033
0,2020-04-02,326942655.6226788,1837127.6541012658,696906.7232199449
1,2020-04-03,326610058.7216908,2038501.151224903,828130.127084321
