day,date,hospitalized,icu,ventilated
-46,2020-02-22,,,
-45,2020-02-23,0.2606356864312924,0.0781907059293877,0.05212713728625845
-44,2020-02-24,0.3099497309463708,0.09298491928391123,0.06198994618927417
-43,2020-02-25,0.36859428836322916,0.11057828650896873,0.0737188576726458
-42,2020-02-26,0.43833473121614897,0.1315004193648447,0.08766694624322985
-41,2020-02-27,0.5212704411809326,0.15638113235427986,0.10425408823618648
-40,2020-02-28,0.6198980009064297,0.18596940027192865,0.12397960018128584
-39,2020-02-29,0.7371863400609655,0.22115590201828983,0.14743726801219315
-38,2020-03-01,0.8766660965291253,0.2629998289587374,0.17533321930582513
-37,2020-03-02,1.0425358811109744,0.31276076433329236,0.20850717622219483
-36,2020-03-03,1.239788642209998,0.3719365926629994,0.2479577284419996
-35,2020-03-04,1.47436193105675,0.4423085793170247,0.29487238621135003
-34,2020-03-05,1.7533165860628515,0.5259949758188553,0.3506633172125704
-33,2020-03-06,2.0850492083753203,0.6255147625125961,0.4170098416750636
-32,2020-03-07,2.479544815048687,0.7438634445146066,0.49590896300973775
-31,2020-03-08,2.94867726165743,0.8846031784972279,0.5897354523314857
-30,2020-03-09,3.5065664584249596,1.0519699375274891,0.701313291684992
-29,2020-03-10,4.1700031054634366,1.2510009316390303,0.834000621092688
-28,2020-03-11,4.958953693731008,1.487686108119303,0.991790738746201
-27,2020-03-12,5.897160918260216,1.7691482754780647,1.1794321836520432
-26,2020-03-13,7.01285749935726,2.1038572498071755,1.402571499871451
-25,2020-03-14,8.339614788787713,2.501884436636315,1.6679229577575434
-24,2020-03-15,9.91735154928034,2.9752054647841035,1.9834703098560684
-23,2020-03-16,11.793533052155524,3.538059915646656,2.3587066104311045
-22,2020-03-17,14.024596274797545,4.2073788824392615,2.8049192549595094
-21,2020-03-18,16.677643655551478,5.003293096665441,3.335528731110294
-20,2020-03-19,19.83245576360909,5.94973672908273,3.9664911527218187
-19,2020-03-20,23.583882581051455,7.075164774315432,4.716776516210288
-18,2020-03-21,28.04468412306892,8.413405236920674,5.608936824613782
-17,2020-03-22,33.34890412795974,10.004671238387921,6.66978082559195
-16,2020-03-23,39.655875859457495,11.896762757837244,7.931175171891503
-15,2020-03-24,47.15497705242413,14.146493115727253,9.430995410484826
-14,2020-03-25,56.071272115248576,16.821381634574564,11.214254423049724
-13,2020-03-26,66.67220433643843,20.00166130093153,13.334440867287682
-12,2020-03-27,79.27552952144424,23.782658856433272,15.855105904288848
-11,2020-03-28,94.25871572122503,28.27761471636748,18.851743144244992
-10,2020-03-29,112.07007201303111,33.621021603909355,22.414014402606213
-9,2020-03-30,133.241913114535,39.9725739343605,26.648382622907036
-8,2020-03-31,158.4061162976485,47.521834889294524,31.681223259529673
-7,2020-04-01,188.31248274367738,56.49374482310321,37.662496548735476
-6,2020-04-02,223.8503769028232,67.15511307084694,44.770075380564606
-5,2020-04-03,266.07418375143357,79.8222551254301,53.21483675028679
-4,2020-04-04,316.2331933274186,94.86995799822552,63.24663866548366
-3,2020-04-05,375.80659143969115,112.74197743190746,75.16131828793829
-2,2020-04-06,446.54429983934506,133.9632899518034,89.30885996786895
-1,2020-04-07,530.5144603301951,159.15433809905858,106.10289206603898
0,2020-04-08,630.1583830402005,189.04751491206025,126.03167660804024
1,2020-04-09,374.17688064223967,112.2530641926719,74.83537612844793
2,2020-04-10,395.86516813219714,118.75955043965882,79.17303362643929
3,2020-04-11,418.78173265961414,125.63451979788442,83.75634653192299
4,2020-04-12,442.9926678722941,132.89780036168804,88.59853357445854
5,2020-04-13,468.567205095027,140.57016152850815,93.71344101900536
6,2020-04-14,495.577810524961,148.67334315748826,99.11556210499248
7,2020-04-15,524.1002784616885,157.23008353850673,104.82005569233752
8,2020-04-16,554.2138193439441,166.26414580318306,110.842763868789
9,2020-04-17,586.0011412042368,175.8003423612713,117.20022824084731
10,2020-04-18,619.5485229774476,185.8645568932343,123.90970459548953
11,2020-04-19,654.9458779089491,196.48376337268473,130.98917558178982
12,2020-04-20,692.286805101443,207.6860415304327,138.45736102028854
13,2020-04-21,731.6686270172977,219.5005881051893,146.3337254034593
14,2020-04-22,773.1924105145208,231.95772315435624,154.63848210290462
15,2020-04-23,816.9629687397864,245.08889062193566,163.3925937479571
16,2020-04-24,863.0888409312029,258.92665227936095,172.61776818624048
17,2020-04-25,911.6822468989285,273.5046740696789,182.3364493797858
18,2020-04-26,962.8590126524923,288.8577037957475,192.5718025304982
19,2020-04-27,1016.7384633342826,305.02153900028406,203.3476926668568
20,2020-04-28,1073.4432792995103,322.03298378985346,214.6886558599017
