ID	Country	Week Starting	Predicted Deaths	Observed Deaths	R_t
2	Algeria	05-04-2020	2,650 (743 - 6,900)		8.51 (6.89 - 10.24)
5	Argentina	05-04-2020	100 (18 - 326)		3.13 (2.02 - 4.34)
8	Austria	05-04-2020	78 (49 - 119)		0.67 (0.56 - 0.80)
12	Belgium	29-03-2020	2,170 (1,420 - 3,220)	930	4.03 (3.56 - 4.52)
13	Belgium	05-04-2020	1,580 (1,280 - 1,880)		1.55 (1.38 - 1.64)
18	Brazil	29-03-2020	306 (149 - 614)	318	2.56 (1.90 - 3.51)
19	Brazil	05-04-2020	1,330 (914 - 1,830)		2.95 (2.58 - 3.23)
24	Canada	29-03-2020	115 (46 - 371)	171	2.13 (1.57 - 3.95)
25	Canada	05-04-2020	1,400 (739 - 2,530)		4.52 (3.55 - 5.23)
30	China	08-03-2020	158 (114 - 211)	104	0.71 (0.61 - 0.80)
31	China	15-03-2020	45 (24 - 77)	62	0.41 (0.26 - 0.64)
32	China	22-03-2020	26 (11 - 50)	39	0.40 (0.20 - 0.65)
33	China	29-03-2020	18 (7 - 44)	29	0.44 (0.31 - 0.86)
34	China	05-04-2020	111 (21 - 368)		2.96 (1.12 - 4.35)
41	Czech Republic	05-04-2020	73 (31 - 169)		1.42 (1.03 - 2.08)
45	Denmark	29-03-2020	291 (117 - 730)	96	3.37 (2.67 - 4.78)
46	Denmark	05-04-2020	453 (219 - 862)		3.28 (2.44 - 4.09)
50	Dominican Republic	05-04-2020	49 (23 - 103)		1.01 (0.82 - 1.53)
53	Ecuador	05-04-2020	305 (178 - 504)		2.08 (1.66 - 2.49)
56	Egypt	05-04-2020	71 (25 - 169)		1.95 (1.37 - 2.66)
60	France	22-03-2020	2,940 (2,140 - 4,010)	1752	3.74 (3.39 - 4.16)
61	France	29-03-2020	4,660 (3,980 - 5,520)	5246	2.14 (1.97 - 2.33)
62	France	05-04-2020	39,900 (35,800 - 44,500)		4.27 (4.12 - 4.43)
68	Germany	29-03-2020	1,230 (742 - 1,740)	953	2.88 (2.19 - 3.17)
69	Germany	05-04-2020	2,540 (2,060 - 3,360)		2.19 (2.01 - 2.56)
74	Greece	29-03-2020	29 (3.98 - 206)	36	1.70 (0.44 - 4.14)
75	Greece	05-04-2020	45 (13 - 134)		1.31 (0.57 - 2.22)
79	India	05-04-2020	303 (108 - 687)		3.72 (2.69 - 4.60)
83	Indonesia	29-03-2020	168 (65 - 371)	89	2.37 (1.31 - 3.53)
84	Indonesia	05-04-2020	81 (46 - 132)		0.92 (0.66 - 1.14)
89	Iran	08-03-2020	146 (78 - 262)	466	1.45 (1.02 - 1.83)
90	Iran	15-03-2020	1,200 (922 - 1,570)	945	2.17 (1.98 - 2.42)
91	Iran	22-03-2020	1,260 (1,010 - 1,540)	961	1.27 (1.08 - 1.43)
92	Iran	29-03-2020	1,100 (928 - 1,300)	935	1.14 (1.05 - 1.25)
93	Iran	05-04-2020	1,340 (1,110 - 1,570)		1.39 (1.26 - 1.47)
100	Iraq	05-04-2020	16 (2 - 68)		1.19 (0.40 - 2.27)
103	Ireland	05-04-2020	206 (114 - 364)		1.78 (1.51 - 2.35)
106	Israel	05-04-2020	226 (45 - 799)		4.23 (2.82 - 6.18)
110	Italy	08-03-2020	893 (570 - 1,520)	1208	2.88 (2.53 - 3.68)
111	Italy	15-03-2020	2,340 (1,970 - 2,780)	3386	1.73 (1.60 - 1.87)
112	Italy	22-03-2020	8,620 (7,760 - 9,570)	5196	2.16 (2.07 - 2.24)
113	Italy	29-03-2020	7,970 (7,060 - 8,720)	5339	1.46 (1.34 - 1.53)
114	Italy	05-04-2020	4,710 (4,310 - 5,200)		0.88 (0.84 - 0.95)
122	Japan	22-03-2020	17 (2 - 64)	16	1.21 (0.35 - 2.24)
123	Japan	29-03-2020	10 (1 - 45)	18	0.68 (0.39 - 1.92)
124	Japan	05-04-2020	78 (7 - 560)		3.26 (2.04 - 6.38)
129	Luxembourg	05-04-2020	5 (0 - 27)		0.35 (0.12 - 1.19)
132	Malaysia	05-04-2020	22 (6 - 63)		0.71 (0.42 - 1.47)
135	Mexico	05-04-2020	461 (158 - 1,280)		4.51 (3.38 - 6.24)
138	Morocco	05-04-2020	106 (29 - 292)		2.54 (1.40 - 3.47)
142	Netherlands	22-03-2020	1,240 (617 - 2,290)	503	4.91 (4.25 - 5.78)
143	Netherlands	29-03-2020	1,850 (1,360 - 2,450)	1012	2.74 (2.37 - 3.02)
144	Netherlands	05-04-2020	1,350 (1,090 - 1,640)		1.29 (1.12 - 1.43)
149	Norway	05-04-2020	43 (13 - 148)		1.49 (0.73 - 2.79)
152	Panama	05-04-2020	23 (6 - 59)		0.89 (0.38 - 1.52)
155	Peru	05-04-2020	168 (69 - 415)		2.37 (1.63 - 3.28)
159	Philippines	29-03-2020	406 (112 - 1,130)	76	4.79 (3.65 - 6.08)
160	Philippines	05-04-2020	313 (139 - 725)		2.89 (2.27 - 4.00)
164	Poland	05-04-2020	187 (83 - 388)		2.43 (1.90 - 3.15)
168	Portugal	29-03-2020	684 (293 - 1,420)	166	4.30 (3.22 - 5.10)
169	Portugal	05-04-2020	218 (145 - 319)		1.28 (1.11 - 1.51)
173	Romania	05-04-2020	266 (148 - 442)		2.04 (1.50 - 2.38)
177	South Korea	08-03-2020	41 (14 - 99)	25	1.31 (0.69 - 1.91)
178	South Korea	15-03-2020	35 (10 - 84)	29	1.40 (0.66 - 1.86)
179	South Korea	22-03-2020	36 (13 - 90)	48	1.13 (0.83 - 1.88)
180	South Korea	29-03-2020	42 (14 - 91)	31	0.98 (0.42 - 1.37)
181	South Korea	05-04-2020	25 (9 - 60)		0.87 (0.56 - 1.39)
189	Spain	22-03-2020	4,580 (3,640 - 5,550)	4364	2.94 (2.61 - 3.10)
190	Spain	29-03-2020	9,740 (8,790 - 11,200)	6054	1.90 (1.84 - 2.06)
191	Spain	05-04-2020	6,610 (6,120 - 7,230)		1.07 (1.03 - 1.14)
197	Sweden	29-03-2020	906 (377 - 2,060)	271	4.97 (3.69 - 6.11)
198	Sweden	05-04-2020	522 (367 - 785)		1.65 (1.42 - 2.04)
203	Switzerland	22-03-2020	624 (84 - 2,370)	179	6.42 (4.88 - 9.46)
204	Switzerland	29-03-2020	1,450 (851 - 2,390)	431	4.10 (3.43 - 4.86)
205	Switzerland	05-04-2020	1,430 (1,100 - 1,840)		2.47 (2.29 - 2.67)
