ID	Country	Week Ending	Predicted Deaths	Observed Deaths	R_t
3	Algeria	05-04-2020	1,090 (623 - 1,870)		5.20 (3.87 - 6.81)
6	Argentina	05-04-2020	34 (9 - 97)		1.35 (0.56 - 2.67)
9	Austria	05-04-2020	152 (99 - 226)		1.38 (1.06 - 1.75)
14	Belgium	29-03-2020	1,630 (1,160 - 2,240)	930	3.49 (2.88 - 4.18)
15	Belgium	05-04-2020	2,340 (1,950 - 2,800)		2.14 (1.91 - 2.38)
20	Brazil	29-03-2020	434 (268 - 682)	318	3.14 (2.41 - 4.00)
21	Brazil	05-04-2020	1,300 (1,080 - 1,590)		2.91 (2.62 - 3.23)
26	Canada	29-03-2020	196 (87 - 430)	171	3.03 (1.86 - 4.61)
27	Canada	05-04-2020	966 (663 - 1,390)		3.53 (2.87 - 4.29)
35	China	08-03-2020	131 (94 - 178)	104	0.58 (0.46 - 0.71)
36	China	15-03-2020	40 (23 - 65)	62	0.38 (0.27 - 0.53)
37	China	22-03-2020	26 (12 - 48)	39	0.44 (0.27 - 0.67)
38	China	29-03-2020	21 (8 - 43)	29	0.58 (0.34 - 0.93)
39	China	05-04-2020	57 (26 - 112)		1.52 (0.96 - 2.26)
42	Czech Republic	05-04-2020	173 (98 - 293)		2.79 (2.05 - 3.70)
47	Denmark	29-03-2020	217 (124 - 366)	96	3.01 (2.20 - 3.97)
48	Denmark	05-04-2020	247 (162 - 368)		2.06 (1.60 - 2.60)
51	Dominican Republic	05-04-2020	46 (18 - 101)		1.05 (0.55 - 1.76)
54	Ecuador	05-04-2020	413 (299 - 560)		2.57 (2.16 - 3.03)
57	Egypt	05-04-2020	52 (27 - 93)		1.44 (0.98 - 2.02)
63	France	22-03-2020	3,760 (3,020 - 4,680)	1752	4.35 (3.87 - 4.86)
64	France	29-03-2020	7,160 (6,530 - 7,820)	5246	2.91 (2.77 - 3.05)
65	France	05-04-2020	23,800 (22,500 - 25,300)		3.06 (2.96 - 3.17)
70	Germany	29-03-2020	2,000 (1,620 - 2,460)	953	3.79 (3.39 - 4.21)
71	Germany	05-04-2020	2,670 (2,380 - 2,980)		2.35 (2.20 - 2.49)
76	Greece	29-03-2020	49 (22 - 99)	36	2.08 (1.36 - 3.01)
77	Greece	05-04-2020	52 (27 - 89)		1.46 (1.05 - 1.97)
80	India	05-04-2020	199 (122 - 312)		2.72 (2.12 - 3.43)
85	Indonesia	29-03-2020	231 (124 - 420)	89	2.53 (1.72 - 3.57)
86	Indonesia	05-04-2020	99 (54 - 170)		1.11 (0.74 - 1.61)
94	Iran	08-03-2020	271 (181 - 393)	466	2.22 (1.76 - 2.74)
95	Iran	15-03-2020	1,620 (1,230 - 2,090)	945	2.69 (2.30 - 3.13)
96	Iran	22-03-2020	1,640 (1,370 - 1,950)	961	1.63 (1.45 - 1.82)
97	Iran	29-03-2020	1,190 (1,000 - 1,400)	935	1.18 (1.05 - 1.32)
