ID	Country	Week Ending	Predicted Deaths Observed Deaths
1	Algeria	05-04-2020	291 (265 - 319)	
4	Argentina	05-04-2020	37 (25 - 51)	
7	Austria	05-04-2020	125 (103 - 149)	
10	Belgium	29-03-2020	877 (815 - 940)	930
11	Belgium	05-04-2020	2,080 (1,990 - 2,170)	
16	Brazil	29-03-2020	414 (369 - 462)	318
17	Brazil	05-04-2020	679 (626 - 734)	
22	Canada	29-03-2020	201 (167 - 238)	171
23	Canada	05-04-2020	449 (403 - 497)	
28	China	29-03-2020	84 (65 - 104)	29
29	China	05-04-2020	32 (22 - 45)	
40	Czech Republic	05-04-2020	76 (58 - 95)	
43	Denmark	29-03-2020	56 (41 - 72)	96
44	Denmark	05-04-2020	205 (176 - 234)	
49	Dominican Republic	05-04-2020	105 (85 - 127)	
52	Ecuador	05-04-2020	176 (150 - 204)	
55	Egypt	05-04-2020	49 (36 - 63)	
58	France	29-03-2020	4,110 (3,980 - 4,240)	5246
59	France	05-04-2020	9,270 (9,100 - 9,440)	
66	Germany	29-03-2020	923 (853 - 991)	953
67	Germany	05-04-2020	1,220 (1,150 - 1,300)	
72	Greece	29-03-2020	26 (16 - 37)	36
73	Greece	05-04-2020	52 (38 - 68)	
78	India	05-04-2020	146 (120 - 174)	
81	Indonesia	29-03-2020	208 (181 - 236)	89
82	Indonesia	05-04-2020	132 (110 - 156)	
87	Iran	29-03-2020	1,230 (1,160 - 1,300)	935
88	Iran	05-04-2020	1,750 (1,660 - 1,830)	
99	Iraq	05-04-2020	26 (16 - 37)	
102	Ireland	05-04-2020	168 (142 - 196)	
105	Israel	05-04-2020	66 (49 - 86)	
108	Italy	29-03-2020	8,200 (8,020 - 8,370)	5339
109	Italy	05-04-2020	5,010 (4,870 - 5,150)	
120	Japan	29-03-2020	24 (14 - 35)	18
121	Japan	05-04-2020	47 (33 - 64)	
128	Luxembourg	05-04-2020	14 (7 - 22)	
131	Malaysia	05-04-2020	32 (21 - 45)	
134	Mexico	05-04-2020	137 (114 - 162)	
137	Morocco	05-04-2020	86 (68 - 105)	
140	Netherlands	29-03-2020	1,360 (1,290 - 1,440)	1012
141	Netherlands	05-04-2020	1,590 (1,510 - 1,660)	
148	Norway	05-04-2020	36 (24 - 50)	
151	Panama	05-04-2020	50 (36 - 66)	
154	Peru	05-04-2020	124 (102 - 149)	
157	Philippines	29-03-2020	119 (98 - 141)	76
158	Philippines	05-04-2020	288 (250 - 327)	
163	Poland	05-04-2020	125 (101 - 150)	
166	Portugal	29-03-2020	356 (313 - 401)	166
167	Portugal	05-04-2020	345 (307 - 386)	
172	Romania	05-04-2020	268 (235 - 303)	
175	South Korea	29-03-2020	45 (32 - 60)	31
176	South Korea	05-04-2020	32 (21 - 44)	
187	Spain	29-03-2020	12,300 (12,100 - 12,500)	6054
188	Spain	05-04-2020	9,430 (9,240 - 9,620)	
195	Sweden	29-03-2020	122 (101 - 146)	271
196	Sweden	05-04-2020	539 (493 - 585)	
201	Switzerland	29-03-2020	422 (377 - 467)	431
202	Switzerland	05-04-2020	505 (459 - 553)	
209	Turkey	29-03-2020	805 (726 - 887)	393
210	Turkey	05-04-2020	1,680 (1,580 - 1,770)	
215	United Kingdom	29-03-2020	2,620 (2,520 - 2,720)	3294
216	United Kingdom	05-04-2020	8,490 (8,330 - 8,650)	
223	United States of America	29-03-2020	10,900 (10,600 - 11,100)	6310
224	United States of America	05-04-2020	14,900 (14,600 - 15,200)	
