
ID	Country	Week Starting	Predicted Deaths	Observed	R_t
1	Algeria	05-04-2020	1,040 (271 - 5,390)		6.88 (4.06 - 9.96)
2	Argentina	05-04-2020	42 (13 - 239)		2.21 (0.67 - 4.18)
3	Austria	05-04-2020	122 (56 - 204)		0.82 (0.57 - 1.69)
4	Belgium	29-03-2020	1,580 (832 - 2,950)	930	3.74 (2.97 - 4.47)
5	Belgium	05-04-2020	2,070 (1,360 - 2,680)		1.68 (1.39 - 2.34)
6	Brazil	29-03-2020	404 (183 - 629)	318	2.83 (1.94 - 3.87)
7	Brazil	05-04-2020	1,200 (640 - 1,700)		2.93 (2.59 - 3.23)
8	Canada	29-03-2020	187 (59 - 376)	171	2.47 (1.61 - 4.36)
9	Canada	05-04-2020	917 (415 - 2,220)		3.85 (2.97 - 5.19)
10	China	08-03-2020	144 (99 - 202)	104	0.65 (0.48 - 0.79)
11	China	15-03-2020	42 (23 - 72)	62	0.40 (0.27 - 0.60)
12	China	22-03-2020	26 (11 - 49)	39	0.42 (0.21 - 0.66)
13	China	29-03-2020	26 (8 - 98)	29	0.52 (0.32 - 0.91)
14	China	05-04-2020	49 (22 - 277)		1.94 (1.02 - 4.11)
15	Czech Republic	05-04-2020	86 (39 - 257)		2.07 (1.06 - 3.55)
16	Denmark	29-03-2020	191 (45 - 561)	96	3.18 (2.31 - 4.45)
17	Denmark	05-04-2020	242 (174 - 737)		2.50 (1.67 - 3.97)
18	Dominican Republic	05-04-2020	62 (22 - 122)		1.03 (0.61 - 1.67)
19	Ecuador	05-04-2020	299 (156 - 528)		2.31 (1.71 - 2.96)
20	Egypt	05-04-2020	53 (28 - 138)		1.68 (1.05 - 2.53)
21	France	22-03-2020	3,400 (2,250 - 4,520)	1752	4.04 (3.43 - 4.78)
22	France	29-03-2020	4,660 (4,000 - 7,640)	5246	2.48 (2.04 - 3.03)
23	France	05-04-2020	23,800 (9,140 - 43,300)		3.68 (2.98 - 4.41)
24	Germany	29-03-2020	1,230 (830 - 2,340)	953	3.22 (2.22 - 4.14)
25	Germany	05-04-2020	2,470 (1,170 - 3,160)		2.30 (2.04 - 2.52)
26	Greece	29-03-2020	32 (6 - 135)	36	1.98 (0.50 - 3.92)
27	Greece	05-04-2020	51 (18 - 104)		1.42 (0.62 - 2.15)
28	India	05-04-2020	182 (119 - 567)		3.11 (2.20 - 4.47)
29	Indonesia	29-03-2020	206 (81 - 381)	89	2.45 (1.44 - 3.57)
30	Indonesia	05-04-2020	108 (51 - 156)		0.99 (0.68 - 1.52)
31	Iran	08-03-2020	213 (86 - 371)	466	1.79 (1.05 - 2.65)
32	Iran	15-03-2020	1,400 (962 - 2,010)	945	2.37 (2.00 - 3.06)
33	Iran	22-03-2020	1,450 (1,060 - 1,900)	961	1.44 (1.13 - 1.79)
34	Iran	29-03-2020	1,200 (967 - 1,350)	935	1.16 (1.05 - 1.29)
35	Iran	05-04-2020	1,340 (584 - 1,810)		1.07 (0.69 - 1.46)
36	Iraq	05-04-2020	17 (2 - 48)		0.75 (0.22 - 2.11)
37	Ireland	05-04-2020	197 (133 - 397)		2.00 (1.53 - 2.79)
38	Israel	05-04-2020	121 (51 - 572)		3.41 (2.14 - 5.86)
39	Italy	08-03-2020	1,310 (619 - 2,420)	1208	3.67 (2.60 - 5.35)
