model_run_id	model_id	run_name	key_assumptions	model_name	model_snapshot_date	notes	compare_across_models	compare_over_time	compare_across_assumptions
1	1	IHME COVID-19 Model (3/25)	Initial model release (3/25)	IHME COVID-19 Model	3/25/20		TRUE	TRUE	TRUE
2	1	IHME COVID-19 Model (3/29)	Update with new training data (3/29)	IHME COVID-19 Model	3/29/20		FALSE	FALSE	FALSE
3	1	IHME COVID-19 Model (4/1)	Update with new training data (4/1)	IHME COVID-19 Model	4/1/20		TRUE	FALSE	FALSE
4	1	IHME COVID-19 Model (4/5)	Update with new training data (4/5)	IHME COVID-19 Model	4/5/20		TRUE	FALSE	FALSE
5	1	IHME COVID-19 Model (4/7)	Update with new training data (4/7)	IHME COVID-19 Model	4/7/20		FALSE	FALSE	FALSE
6	1	IHME COVID-19 Model (4/10)	Update with new training data (4/10)	IHME COVID-19 Model	4/10/20		TRUE	FALSE	FALSE
7	1	IHME COVID-19 Model (4/13)	Update with new training data (4/13)	IHME COVID-19 Model	4/13/20		TRUE	TRUE	TRUE
12	9	"Columbia University Model (4/12, no interventions)"	Assume no intervention	Columbia University Model	4/12/20	Model assumes no interventions	FALSE	FALSE	FALSE
13	9	"Columbia University Model (4/12, 20% reduction in contact rate)"	Assume 20% reduction in contact rate	Columbia University Model	4/12/20	Model assumes 20% reduction in contact rates	FALSE	TRUE	FALSE
14	9	"Columbia University Model (4/12, 30% reduction in contact rate)"	Assume 30% reduction in contact rate	Columbia University Model	4/12/20	Model assumes 30% reduction in contact rates	FALSE	FALSE	FALSE
15	9	"Columbia University Model (4/12, 40% reduction in contact rate)"	Assume 40% reduction in contact rate	Columbia University Model	4/12/20	Model assumes 40% reduction in contact rates	FALSE	FALSE	FALSE
16	9	"Columbia University Model (4/5, 40% reduction in contact rate)"	Assume 40% reduction in contact rate	Columbia University Model	4/5/20	Model assumes 40% reduction in contact rates	FALSE	FALSE	FALSE
17	9	"Columbia University Model (4/9, 40% reduction in contact rate)"	Assume 40% reduction in contact rate	Columbia University Model	4/9/20	Model assumes 40% reduction in contact rates	FALSE	FALSE	FALSE
18	13	LANL COVID-19 Model (4/15)	Update with new training data (4/15)	LANL COVID-19 Model	4/15/20		FALSE	FALSE	FALSE
19	13	LANL COVID-19 Model (4/12)	Update with new training data (4/12)	LANL COVID-19 Model	4/12/20		FALSE	TRUE	FALSE
20	13	LANL COVID-19 Model (4/8)	Update with new training data (4/8)	LANL COVID-19 Model	4/8/20		FALSE	FALSE	FALSE
21	13	LANL COVID-19 Model (4/5)	Initial archived model release (4/5)	LANL COVID-19 Model	4/5/20		FALSE	TRUE	FALSE
22	10	GLEAM (4/3)	Initial archived results from website (4/3)	GLEAM	4/3/20	Mitigated scenario	TRUE	TRUE	FALSE
23	1	IHME COVID-19 Model (4/17)	Update with new training data (4/17)	IHME COVID-19 Model	4/17/20		FALSE	FALSE	FALSE
24	9	"Columbia University Model (4/16, no interventions)"	Assume no intervention	Columbia University Model	4/16/20	Model assumes no interventions	FALSE	FALSE	FALSE
25	9	"Columbia University Model (4/16, 20% reduction in contact rate)"	Assume 20% reduction in contact rate	Columbia University Model	4/16/20	Model assumes 20% reduction in contact rates	FALSE	TRUE	FALSE
26	9	"Columbia University Model (4/16, 30% reduction in contact rate)"	Assume 30% reduction in contact rate	Columbia University Model	4/16/20	Model assumes 30% reduction in contact rates	FALSE	FALSE	FALSE
27	9	"Columbia University Model (4/16, 40% reduction in contact rate)"	Assume 40% reduction in contact rate	Columbia University Model	4/16/20	Model assumes 40% reduction in contact rates	FALSE	FALSE	FALSE
28	9	"Columbia University Model (4/19, no interventions)"	Assume no intervention	Columbia University Model	4/19/20	Model assumes no interventions	FALSE	FALSE	FALSE
29	9	"Columbia University Model (4/19, 20% reduction in contact rate)"	Assume 20% reduction in contact rate	Columbia University Model	4/19/20	Model assumes 20% reduction in contact rates	FALSE	TRUE	FALSE
